"Latitude"	"Longitude"	"Elevation"	"Speed"	"Heading"	"Ax"	"Ay"	"Az"	"Yawrate"	"GentimeSec"	"ID"
42.28721	-83.72296	213.6	18.76	267.9625	0.12	20.01	0	-0.17	351277083	"ID18002919002205327605"
42.28721	-83.72305	213.6	18.74	268	0.06	20.01	0	-0.03	351277083.4	"ID18002919002205327605"
42.28708	-83.72802	213.6	19.6	267.675	-0.22	20.01	0	-0.06	351277104.4	"ID18002919002205327605"
42.28708	-83.72811	213.6	19.62	267.625	-0.07	20.01	0	0.01	351277104.8	"ID18002919002205327605"
42.28708	-83.72816	213.6	19.52	267.7375	-0.18	20.01	0	0.56	351277105	"ID18002919002205327605"
42.28707	-83.72849	213.6	19.06	267.9	-0.23	20.01	0	0.02	351277106.4	"ID18002919002205327605"
42.28707	-83.72856	213.6	19.02	267.825	-0.17	20.01	0	-0.44	351277106.7	"ID18002919002205327605"
42.28707	-83.72863	213.6	19.06	267.875	-0.02	20.01	0	0.13	351277107	"ID18002919002205327605"
42.28706	-83.7287	213.6	18.92	267.5375	-0.17	20.01	0	-0.58	351277107.3	"ID18002919002205327605"
42.28706	-83.72874	213.6	19	267.5125	-0.02	20.01	0	-0.24	351277107.5	"ID18002919002205327605"
42.28706	-83.7289	213.6	18.96	267.45	0	20.01	0	0.04	351277108.2	"ID18002919002205327605"
42.28703	-83.72945	213.6	18.36	265.4375	-0.13	20.01	0	-1.25	351277110.6	"ID18002919002205327605"
42.28703	-83.72953	213.6	18.38	265.1375	0	20.01	0	-0.53	351277111	"ID18002919002205327605"
42.287	-83.72987	213.6	18.38	261.375	0.08	20.01	0	-2.59	351277112.5	"ID18002919002205327605"
42.28698	-83.72997	213.6	18.36	259.475	0	20.01	0	-3.63	351277113	"ID18002919002205327605"
42.28698	-83.73	213.6	18.32	259.2375	-0.06	20.01	0	-3.2	351277113.1	"ID18002919002205327605"
42.28698	-83.73002	213.6	18.32	258.75	-0.06	20.01	0	-3.32	351277113.2	"ID18002919002205327605"
42.28697	-83.73006	213.6	18.26	257.5875	-0.13	20.01	0	-4.5	351277113.4	"ID18002919002205327605"
42.28696	-83.73008	213.6	18.22	257.35	-0.2	20.01	0	-4.42	351277113.5	"ID18002919002205327605"
42.28696	-83.7301	213.6	18.2	256.7875	-0.21	20.01	0	-4.6	351277113.6	"ID18002919002205327605"
42.28695	-83.73015	213.6	18.1	256	-0.32	20.01	0	-4.35	351277113.8	"ID18002919002205327605"
42.28695	-83.73016	213.6	18.08	255.55	-0.33	20.01	0	-4.4	351277113.9	"ID18002919002205327605"
42.28694	-83.73021	213.6	17.96	255.175	-0.43	20.01	0	-3.26	351277114.1	"ID18002919002205327605"
42.28694	-83.73023	213.6	17.96	255.0875	-0.39	20.01	0	-2.51	351277114.2	"ID18002919002205327605"
42.28693	-83.73027	213.6	17.78	254.6875	-0.52	20.01	0	-1.83	351277114.4	"ID18002919002205327605"
42.28692	-83.73029	213.6	17.78	254.8	-0.48	20.01	0	-1.08	351277114.5	"ID18002919002205327605"
42.28692	-83.73031	213.6	17.68	254.925	-0.54	20.01	0	-0.27	351277114.6	"ID18002919002205327605"
42.28691	-83.73033	213.6	17.64	254.9	-0.52	20.01	0	0.12	351277114.7	"ID18002919002205327605"
42.28691	-83.73035	213.6	17.58	254.8	-0.53	20.01	0	0.1	351277114.8	"ID18002919002205327605"
42.28691	-83.73038	213.6	17.52	254.475	-0.56	20.01	0	-0.55	351277114.9	"ID18002919002205327605"
42.2869	-83.73039	213.6	17.44	254.6375	-0.59	20.01	0	-0.45	351277115	"ID18002919002205327605"
42.28689	-83.73043	213.6	17.32	254.7	-0.61	20.01	0	-0.16	351277115.2	"ID18002919002205327605"
42.28689	-83.73045	213.6	17.26	254.45	-0.62	20.01	0	-0.39	351277115.3	"ID18002919002205327605"
42.28688	-83.73048	213.6	17.16	254.575	-0.67	20.01	0	-0.17	351277115.4	"ID18002919002205327605"
42.28688	-83.73049	213.6	17.14	254.375	-0.63	20.01	0	-0.42	351277115.5	"ID18002919002205327605"
42.28688	-83.73051	213.6	17.08	254.55	-0.59	20.01	0	-0.11	351277115.6	"ID18002919002205327605"
42.28687	-83.73054	213.6	17.02	254.55	-0.59	20.01	0	0.06	351277115.7	"ID18002919002205327605"
42.28687	-83.73055	213.6	16.88	254.45	-0.7	20.01	0	-0.07	351277115.8	"ID18002919002205327605"
42.28687	-83.73058	213.6	16.88	254.5625	-0.63	20.01	0	0.1	351277115.9	"ID18002919002205327605"
42.28686	-83.73059	213.6	16.84	254.55	-0.59	20.01	0	0.13	351277116	"ID18002919002205327605"
42.28686	-83.73061	213.6	16.7	254.5	-0.67	20.01	0	0.02	351277116.1	"ID18002919002205327605"
42.28685	-83.73063	213.6	16.64	254.45	-0.72	20.01	0	-0.13	351277116.2	"ID18002919002205327605"
42.28685	-83.73065	213.6	16.6	254.5	-0.68	20.01	0	-0.08	351277116.3	"ID18002919002205327605"
42.28685	-83.73067	213.6	16.54	254.4	-0.65	20.01	0	-0.22	351277116.4	"ID18002919002205327605"
42.28684	-83.73069	213.6	16.5	254.5375	-0.59	20.01	0	0	351277116.5	"ID18002919002205327605"
42.28684	-83.73071	213.6	16.42	254.525	-0.61	20.01	0	0.1	351277116.6	"ID18002919002205327605"
