"Latitude"	"Longitude"	"Elevation"	"Speed"	"Heading"	"Ax"	"Ay"	"Az"	"Yawrate"	"GentimeSec"	"ID"
42.28542	-83.73504	211.2	7.26	227.05	1.04	9.94	0	0	351279268	"ID180019191218115-3034"
42.28541	-83.73505	211.2	7.38	227.25	1.04	9.94	0	0	351279268.1	"ID180019191218115-3034"
42.2854	-83.73507	211.1	7.54	227.0875	0.86	9.94	0	0	351279268.4	"ID180019191218115-3034"
42.28535	-83.73514	211.1	8.16	221.3125	0.42	9.94	0	0	351279269.4	"ID180019191218115-3034"
42.28527	-83.73523	210.9	9.14	219.8375	0.55	9.94	0	0	351279270.7	"ID180019191218115-3034"
42.28526	-83.73524	210.9	9.3	218.3875	0.88	9.94	0	0	351279270.8	"ID180019191218115-3034"
42.28526	-83.73524	210.9	9.4	217.7375	0.88	9.94	0	0	351279270.9	"ID180019191218115-3034"
42.28525	-83.73525	210.9	9.34	219.6875	0.44	9.94	0	0	351279271	"ID180019191218115-3034"
42.28524	-83.73527	210.9	9.58	218.3125	0.92	9.94	0	0	351279271.2	"ID180019191218115-3034"
42.28523	-83.73528	210.9	9.68	217.9375	0.92	9.94	0	0	351279271.3	"ID180019191218115-3034"
42.28522	-83.73528	210.9	9.58	214.6	0.36	9.94	0	0	351279271.4	"ID180019191218115-3034"
42.28522	-83.73529	210.9	9.62	213.5625	0.36	9.94	0	0	351279271.5	"ID180019191218115-3034"
42.2852	-83.73531	210.9	9.82	217.5875	0.42	9.94	0	0	351279271.8	"ID180019191218115-3034"
42.28519	-83.73531	210.9	9.86	217.6875	0.42	9.94	0	0	351279271.9	"ID180019191218115-3034"
42.28518	-83.73532	210.9	9.98	213.85	0.65	9.94	0	0	351279272	"ID180019191218115-3034"
42.28518	-83.73533	210.9	10.04	213.0875	0.65	9.94	0	0	351279272.1	"ID180019191218115-3034"
42.28517	-83.73534	210.9	10.12	215.125	0.69	9.94	0	0	351279272.2	"ID180019191218115-3034"
42.28516	-83.73534	210.9	10.2	214.95	0.69	9.94	0	0	351279272.3	"ID180019191218115-3034"
42.28515	-83.73535	210.9	10.22	216.4	0.57	9.94	0	0	351279272.4	"ID180019191218115-3034"
42.28514	-83.73536	210.9	10.3	216.575	0.57	9.94	0	0	351279272.5	"ID180019191218115-3034"
42.28509	-83.73541	211	10.6	213.5125	0.34	9.94	0	0	351279273.2	"ID180019191218115-3034"
42.28508	-83.73542	211	10.64	213.4	0.34	9.94	0	0	351279273.3	"ID180019191218115-3034"
42.28507	-83.73543	211	10.76	213.375	0.59	9.94	0	0	351279273.4	"ID180019191218115-3034"
42.28506	-83.73544	211	10.82	213.275	0.59	9.94	0	0	351279273.5	"ID180019191218115-3034"
42.28506	-83.73544	211	10.92	212.8625	0.73	9.94	0	0	351279273.6	"ID180019191218115-3034"
42.28505	-83.73544	211	11	212.675	0.73	9.94	0	0	351279273.7	"ID180019191218115-3034"
42.28504	-83.73545	211.1	11	210.75	0.53	9.94	0	0	351279273.8	"ID180019191218115-3034"
42.28503	-83.73546	211.1	11.08	210.175	0.53	9.94	0	0	351279273.9	"ID180019191218115-3034"
42.28502	-83.73547	211.1	11.08	211.4125	0.4	9.94	0	0	351279274	"ID180019191218115-3034"
42.28543	-83.73502	208.5	5.92	237.7625	1.48	0.49	0	5.26	351279988.7	"ID180019191227183-5050"
42.28542	-83.73503	208.5	5.88	224.4875	0.92	-0.22	0	-2.13	351279988.8	"ID180019191227183-5050"
42.28542	-83.73503	208.5	6	222.675	0.92	-0.22	0	-2.13	351279988.9	"ID180019191227183-5050"
42.28542	-83.73504	208.5	6.2	221.6125	1.33	-0.44	-0.32	-4.02	351279989	"ID180019191227183-5050"
42.28541	-83.73505	208.5	6.36	219.875	1.33	-0.44	-0.32	-4.02	351279989.1	"ID180019191227183-5050"
42.28541	-83.73505	208.5	6.44	226.925	1.25	-0.11	-0.48	-0.81	351279989.2	"ID180019191227183-5050"
42.2854	-83.73505	208.5	6.58	227.0375	1.25	-0.11	-0.48	-0.81	351279989.3	"ID180019191227183-5050"
42.2854	-83.73506	208.5	6.68	226.6	1.19	-0.11	-0.22	-0.85	351279989.4	"ID180019191227183-5050"
42.2854	-83.73507	208.5	6.82	226.5875	1.19	-0.11	-0.22	-0.85	351279989.5	"ID180019191227183-5050"
42.28532	-83.73518	208.7	8.8	222.1625	1.39	-0.3	-0.36	-1.91	351279991.1	"ID180019191227183-5050"
42.28531	-83.73518	208.7	8.74	220.75	0.79	-0.4	-0.3	-2.55	351279991.2	"ID180019191227183-5050"
42.2853	-83.73518	208.7	8.82	220.35	0.79	-0.4	-0.3	-2.55	351279991.3	"ID180019191227183-5050"
42.2853	-83.7352	208.7	9.06	222.45	1.31	-0.22	-0.36	-1.3	351279991.4	"ID180019191227183-5050"
42.28529	-83.73521	208.7	9.22	222.575	1.31	-0.22	-0.36	-1.3	351279991.5	"ID180019191227183-5050"
42.28528	-83.73521	208.7	9.18	221.5625	0.61	-0.26	-0.26	-1.52	351279991.7	"ID180019191227183-5050"
42.28527	-83.73522	208.8	9.38	216.2875	1.06	-0.75	-0.26	-4.47	351279991.8	"ID180019191227183-5050"
42.28526	-83.73523	208.8	9.5	215.05	1.06	-0.75	-0.26	-4.47	351279991.9	"ID180019191227183-5050"
42.28526	-83.73524	208.8	9.6	216.575	1.06	-0.67	-0.52	-3.99	351279992	"ID180019191227183-5050"
42.28525	-83.73524	208.8	9.72	215.8875	1.06	-0.67	-0.52	-3.99	351279992.1	"ID180019191227183-5050"
42.28524	-83.73525	208.8	9.7	218.875	0.73	-0.4	-0.48	-2.24	351279992.2	"ID180019191227183-5050"
42.28524	-83.73526	208.8	9.78	218.9625	0.73	-0.4	-0.48	-2.24	351279992.3	"ID180019191227183-5050"
42.28523	-83.73527	208.8	9.84	220.85	0.71	-0.15	-0.34	-0.74	351279992.4	"ID180019191227183-5050"
42.28521	-83.73529	208.8	10.12	218.2	0.82	-0.34	-0.2	-1.89	351279992.7	"ID180019191227183-5050"
42.2852	-83.7353	208.9	10.2	218.55	0.88	-0.3	-0.3	-1.61	351279992.8	"ID180019191227183-5050"
42.28519	-83.73531	208.9	10.3	218.4375	0.88	-0.3	-0.3	-1.61	351279992.9	"ID180019191227183-5050"
42.28519	-83.73531	208.9	10.72	218.675	1.93	-0.26	-0.28	-1.34	351279993	"ID180019191227183-5050"
42.28518	-83.73532	208.9	10.94	218.625	1.93	-0.26	-0.28	-1.34	351279993.1	"ID180019191227183-5050"
42.28517	-83.73533	208.9	11.16	218.575	1.93	-0.26	-0.28	-1.34	351279993.2	"ID180019191227183-5050"
42.28516	-83.73534	209	10.8	218.35	0.69	-0.26	-0.26	-1.28	351279993.3	"ID180019191227183-5050"
42.28516	-83.73535	209	10.94	220.7125	0.96	0.03	-0.26	0.21	351279993.4	"ID180019191227183-5050"
42.28515	-83.73536	209	11.06	221.175	0.96	0.03	-0.26	0.21	351279993.5	"ID180019191227183-5050"
42.2851	-83.73542	209.1	11.52	217	0.61	-0.32	-0.28	-1.54	351279994.2	"ID180019191227183-5050"
42.28508	-83.73543	209.1	11.6	216.7375	0.61	-0.32	-0.28	-1.54	351279994.3	"ID180019191227183-5050"
42.28507	-83.73544	209.2	11.74	218.7375	0.65	-0.11	-0.26	-0.47	351279994.5	"ID180019191227183-5050"
42.28505	-83.73546	209.2	11.8	215.35	0.47	-0.42	-0.18	-1.94	351279994.7	"ID180019191227183-5050"
42.28543	-83.73504	208.4	6.8	229.65	0.79	9.94	0	0	351281672.8	"ID1800191912281155521"
42.28542	-83.73505	208.4	6.96	227.75	0.8	9.94	0	0	351281673	"ID1800191912281155521"
42.28542	-83.73506	208.4	7.06	227.4875	0.8	9.94	0	0	351281673.1	"ID1800191912281155521"
42.28541	-83.73506	208.4	7.2	225.85	1.02	9.94	0	0	351281673.2	"ID1800191912281155521"
42.28532	-83.73518	208.7	8.4	220.6875	0.51	9.94	0	0	351281674.9	"ID1800191912281155521"
42.28531	-83.73519	208.7	8.52	219.125	0.51	9.94	0	0	351281675.1	"ID1800191912281155521"
42.2853	-83.73521	208.7	8.78	219.6125	0.88	9.94	0	0	351281675.3	"ID1800191912281155521"
42.28527	-83.73523	208.7	8.86	216.1	0.51	9.94	0	0	351281675.7	"ID1800191912281155521"
42.28527	-83.73524	208.7	9	215.8375	0.84	9.94	0	0	351281675.8	"ID1800191912281155521"
42.28526	-83.73524	208.7	9.1	215.0375	0.84	9.94	0	0	351281675.9	"ID1800191912281155521"
42.28526	-83.73525	208.6	8.94	217.3875	0.09	9.94	0	0	351281676	"ID1800191912281155521"
42.28525	-83.73526	208.6	8.96	217.2375	0.09	9.94	0	0	351281676.1	"ID1800191912281155521"
